FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
0,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.79833,37.70599 140.79833,37.68324 140.82708,37.68324 140.82708,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",322,福島県,相馬郡,飯舘村,2016/11/26 19:42:14,2016/11/26 19:50:51,0.48,468
1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.68324 140.82708,37.66048 140.85582,37.66048 140.85582,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",61,福島県,,南相馬市,2016/11/26 19:36:48,2016/11/26 19:57:25,0.43,200
2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.70599 140.82708,37.68324 140.85582,37.68324 140.85582,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",404,福島県,,南相馬市,2016/11/26 19:37:35,2016/11/26 19:56:46,0.41,289
3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.82708,37.72873 140.82708,37.70599 140.85582,37.70599 140.85582,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",217,福島県,,南相馬市,2016/11/20 01:22:25,2016/11/20 01:28:55,0.37,133
4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.68324 140.85582,37.66048 140.88457,37.66048 140.88457,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",346,福島県,,南相馬市,2016/11/26 19:29:22,2016/11/26 20:01:12,0.45,127
5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.70599 140.85582,37.68324 140.88457,37.68324 140.88457,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",59,福島県,,南相馬市,2016/11/20 01:43:37,2016/11/20 01:46:21,0.34,148
6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.85582,37.72873 140.85582,37.70599 140.88457,37.70599 140.88457,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",465,福島県,,南相馬市,2016/11/20 01:18:41,2016/11/20 01:43:36,0.19,78
7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.59217 140.88457,37.56938 140.91332,37.56938 140.91332,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",56,福島県,,南相馬市,2016/10/30 23:24:43,2016/10/30 23:26:11,0.39,170
8,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.61494 140.88457,37.59217 140.91332,37.59217 140.91332,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",418,福島県,,南相馬市,2016/09/03 01:33:35,2016/11/05 23:35:46,0.41,141
9,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.63772 140.88457,37.61494 140.91332,37.61494 140.91332,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",913,福島県,,南相馬市,2016/10/30 22:28:05,2016/11/26 18:34:22,0.35,100
10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.66048 140.88457,37.63772 140.91332,37.63772 140.91332,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",1026,福島県,,南相馬市,2016/11/26 18:26:35,2016/11/26 19:19:05,0.38,73
11,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.68324 140.88457,37.66048 140.91332,37.66048 140.91332,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",1443,福島県,,南相馬市,2016/11/20 01:48:19,2016/12/02 19:33:13,0.29,67
12,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.70599 140.88457,37.68324 140.91332,37.68324 140.91332,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",438,福島県,,南相馬市,2016/11/20 01:46:22,2016/11/26 20:25:44,0.25,90
13,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.72873 140.88457,37.70599 140.91332,37.70599 140.91332,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",205,福島県,,南相馬市,2016/11/20 01:16:56,2016/11/20 01:41:37,0.16,58
14,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88457,37.75146 140.88457,37.72873 140.91332,37.72873 140.91332,37.75146</coordinates></LinearRing></outerBoundaryIs></Polygon>",148,福島県,,相馬市,2016/11/20 01:02:09,2016/11/20 01:16:55,0.14,42
15,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.54659 140.91332,37.52379 140.94206,37.52379 140.94206,37.54659</coordinates></LinearRing></outerBoundaryIs></Polygon>",309,福島県,,南相馬市,2016/09/02 23:17:50,2016/09/02 23:24:24,0.46,80
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.56938 140.91332,37.54659 140.94206,37.54659 140.94206,37.56938</coordinates></LinearRing></outerBoundaryIs></Polygon>",308,福島県,,南相馬市,2016/09/02 23:24:25,2016/10/23 23:34:16,0.34,79
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.59217 140.91332,37.56938 140.94206,37.56938 140.94206,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",1589,福島県,,南相馬市,2016/09/02 22:32:48,2016/10/30 23:35:51,0.28,85
18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.61494 140.91332,37.59217 140.94206,37.59217 140.94206,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",3165,福島県,,南相馬市,2016/09/02 22:27:44,2016/11/06 00:24:25,0.22,82
19,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.63772 140.91332,37.61494 140.94206,37.61494 140.94206,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",3107,福島県,,南相馬市,2016/09/03 01:39:33,2016/12/02 19:03:04,0.17,59
20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.66048 140.91332,37.63772 140.94206,37.63772 140.94206,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",3161,福島県,,南相馬市,2016/11/05 23:54:00,2016/12/25 22:56:58,0.16,42
21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.68324 140.91332,37.66048 140.94206,37.66048 140.94206,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",2501,福島県,,南相馬市,2016/11/20 01:53:59,2016/12/25 22:49:47,0.18,48
22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.70599 140.91332,37.68324 140.94206,37.68324 140.94206,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",1560,福島県,,南相馬市,2016/11/26 20:25:45,2016/12/02 20:36:44,0.15,44
23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.72873 140.91332,37.70599 140.94206,37.70599 140.94206,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",1528,福島県,,南相馬市,2016/11/20 00:46:05,2016/11/26 22:20:25,0.13,32
24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.91332,37.75146 140.91332,37.72873 140.94206,37.72873 140.94206,37.75146</coordinates></LinearRing></outerBoundaryIs></Polygon>",964,福島県,,相馬市,2016/11/20 00:37:42,2016/11/20 01:14:47,0.12,39
25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.54659 140.94206,37.52379 140.97081,37.52379 140.97081,37.54659</coordinates></LinearRing></outerBoundaryIs></Polygon>",668,福島県,,南相馬市,2016/06/26 01:20:24,2016/12/30 00:42:23,0.57,53
26,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.56938 140.94206,37.54659 140.97081,37.54659 140.97081,37.56938</coordinates></LinearRing></outerBoundaryIs></Polygon>",2206,福島県,,南相馬市,2016/06/26 01:16:02,2016/10/23 23:41:21,0.26,39
27,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.59217 140.94206,37.56938 140.97081,37.56938 140.97081,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",931,福島県,,南相馬市,2016/06/26 01:50:05,2016/10/30 23:39:23,0.21,39
28,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.61494 140.94206,37.59217 140.97081,37.59217 140.97081,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",2417,福島県,,南相馬市,2016/06/23 23:53:40,2016/12/25 18:54:27,0.16,37
29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.63772 140.94206,37.61494 140.97081,37.61494 140.97081,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",9214,福島県,,南相馬市,2016/09/03 01:45:43,2016/12/25 23:33:57,0.13,43
30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.66048 140.94206,37.63772 140.97081,37.63772 140.97081,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",11403,福島県,,南相馬市,2016/09/03 01:47:10,2016/12/26 00:16:44,0.13,30
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.68324 140.94206,37.66048 140.97081,37.66048 140.97081,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",2644,福島県,,南相馬市,2016/11/19 19:52:55,2016/12/03 01:26:59,0.15,40
32,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.70599 140.94206,37.68324 140.97081,37.68324 140.97081,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",5119,福島県,,南相馬市,2016/11/19 21:03:50,2016/12/02 22:41:06,0.12,23
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.72873 140.94206,37.70599 140.97081,37.70599 140.97081,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",3664,福島県,,南相馬市,2016/11/19 21:04:19,2016/11/26 23:43:02,0.11,18
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.94206,37.75146 140.94206,37.72873 140.97081,37.72873 140.97081,37.75146</coordinates></LinearRing></outerBoundaryIs></Polygon>",1269,福島県,,南相馬市,2016/11/19 23:34:57,2016/11/20 00:37:40,0.12,17
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.52379 140.97081,37.50099 140.99955,37.50099 140.99955,37.52379</coordinates></LinearRing></outerBoundaryIs></Polygon>",316,福島県,双葉郡,浪江町,2016/09/02 19:36:09,2016/09/02 20:11:06,0.18,17
36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.54659 140.97081,37.52379 140.99955,37.52379 140.99955,37.54659</coordinates></LinearRing></outerBoundaryIs></Polygon>",893,福島県,,南相馬市,2016/09/02 19:32:10,2016/09/03 00:10:46,0.18,20
37,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.56938 140.97081,37.54659 140.99955,37.54659 140.99955,37.56938</coordinates></LinearRing></outerBoundaryIs></Polygon>",9480,福島県,,南相馬市,2016/06/23 23:59:00,2016/12/25 21:29:53,0.13,15
38,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.59217 140.97081,37.56938 140.99955,37.56938 140.99955,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",2526,福島県,,南相馬市,2016/06/23 23:54:33,2016/12/25 18:59:04,0.15,23
39,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.61494 140.97081,37.59217 140.99955,37.59217 140.99955,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",3068,福島県,,南相馬市,2016/06/23 23:53:54,2016/12/25 18:54:51,0.12,18
40,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.63772 140.97081,37.61494 140.99955,37.61494 140.99955,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",4368,福島県,,南相馬市,2016/11/13 22:47:15,2016/12/25 23:40:53,0.11,27
41,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.66048 140.97081,37.63772 140.99955,37.63772 140.99955,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",5759,福島県,,南相馬市,2016/11/13 22:41:37,2016/12/26 00:03:36,0.11,20
42,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.68324 140.97081,37.66048 140.99955,37.66048 140.99955,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",1783,福島県,,南相馬市,2016/11/14 00:37:59,2016/12/02 23:37:16,0.11,19
43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.70599 140.97081,37.68324 140.99955,37.68324 140.99955,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",3046,福島県,,南相馬市,2016/11/14 01:48:21,2016/12/02 22:43:32,0.10,11
44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.72873 140.97081,37.70599 140.99955,37.70599 140.99955,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",1686,福島県,,南相馬市,2016/11/19 21:19:24,2016/11/19 23:23:32,0.11,14
45,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.97081,37.75146 140.97081,37.72873 140.99955,37.72873 140.99955,37.75146</coordinates></LinearRing></outerBoundaryIs></Polygon>",637,福島県,,相馬市,2016/11/19 23:04:53,2016/11/19 23:58:11,0.10,6
46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.52379 140.99955,37.50099 141.02830,37.50099 141.02830,37.52379</coordinates></LinearRing></outerBoundaryIs></Polygon>",515,福島県,,南相馬市,2016/09/02 19:44:55,2016/09/02 19:58:33,0.12,9
47,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.54659 140.99955,37.52379 141.02830,37.52379 141.02830,37.54659</coordinates></LinearRing></outerBoundaryIs></Polygon>",1498,福島県,,南相馬市,2016/09/02 19:54:05,2016/09/03 00:52:52,0.13,12
48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.56938 140.99955,37.54659 141.02830,37.54659 141.02830,37.56938</coordinates></LinearRing></outerBoundaryIs></Polygon>",1294,福島県,,南相馬市,2016/06/26 00:59:29,2016/12/25 21:32:03,0.11,10
49,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.59217 140.99955,37.56938 141.02830,37.56938 141.02830,37.59217</coordinates></LinearRing></outerBoundaryIs></Polygon>",1640,福島県,,南相馬市,2016/06/26 00:53:43,2016/12/25 21:34:55,0.11,14
50,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.61494 140.99955,37.59217 141.02830,37.59217 141.02830,37.61494</coordinates></LinearRing></outerBoundaryIs></Polygon>",2248,福島県,,南相馬市,2016/10/24 00:26:55,2016/12/25 21:38:25,0.10,16
51,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.63772 140.99955,37.61494 141.02830,37.61494 141.02830,37.63772</coordinates></LinearRing></outerBoundaryIs></Polygon>",1736,福島県,,南相馬市,2016/11/13 22:49:53,2016/12/25 23:40:12,0.09,16
52,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.66048 140.99955,37.63772 141.02830,37.63772 141.02830,37.66048</coordinates></LinearRing></outerBoundaryIs></Polygon>",1638,福島県,,南相馬市,2016/11/14 00:14:35,2016/12/25 23:59:42,0.10,14
53,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.68324 140.99955,37.66048 141.02830,37.66048 141.02830,37.68324</coordinates></LinearRing></outerBoundaryIs></Polygon>",1211,福島県,,南相馬市,2016/11/14 00:36:38,2016/11/19 20:37:44,0.09,13
54,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.70599 140.99955,37.68324 141.02830,37.68324 141.02830,37.70599</coordinates></LinearRing></outerBoundaryIs></Polygon>",345,Error,Error,Error,2016/11/19 20:42:14,2016/11/19 20:58:34,0.08,10
55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.99955,37.72873 140.99955,37.70599 141.02830,37.70599 141.02830,37.72873</coordinates></LinearRing></outerBoundaryIs></Polygon>",506,Error,Error,Error,2016/11/19 21:23:41,2016/11/19 21:48:55,0.08,11
56,"<Polygon><outerBoundaryIs><LinearRing><coordinates>141.02830,37.54659 141.02830,37.52379 141.05705,37.52379 141.05705,37.54659</coordinates></LinearRing></outerBoundaryIs></Polygon>",43,Error,Error,Error,2016/09/03 00:34:53,2016/09/03 00:35:51,0.08,9
